organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,MOH 731 Infected_24mths HV02-47,MOH 731 Uninfected_24mths HV02-48,MOH 731 Unknown_Outcome HV02-49,MOH 731 Net cohort_HEI_24 months HV02-50
DPmbpX7Npsj,Good Shepherd Ang'iya,17747,,,18,,18
DVnHWnAZOjR,Got Agulu Sub-District Hospital,13588,within Usigu Division,,14,,14
O3IcMfXrjBu,Got Kamondi Health Centre,18874,,,1,,1
Wd7fRx7kIDT,Got Kojowi Health Centre,13589,,,12,2,14
LUgqcwSvTS4,Got Matar Health Centre,13590,level 3 facility in usigu division,,2,,2
M6pRVexaXwC,Got Osimbo Dispensary,18321,,,2,,2
S3nhzDadRjF,Got Oyaro Health Centre,13592,,,7,,7
dDUH3HhyOUc,Got Regea Dispensary,17520,,,4,,4
Y87ZGSAcivK,Gucha Sub County Referral Hospital,13594,,,17,,17
zwnu6Pa5gLi,Hamisi Sub County Hospital,15894,,1,3,,4
zYY0B4vnqpE,Hamundia Health Centre,16753,,,4,,4
GrfDMFELnO0,Hawinga Health Centre,13600,,,11,,11
bZaDWRI5ubJ,Hindi Magogoni Dispensary,11409,Hindi near DO'S office,,1,,1
wgZ2mHu3aX9,Holo Dispensary,17118,Dispensary,,5,,5
g9QbZTBk5sC,Holy Cross Dispensary,10321,,,1,,1
CmIEKqOW8Lg,Holy family Catholic Hospital (Githunguri),19963,,,4,,4
qZqNL79w8Zg,Holy Family Nangina Mission Hospital,16073,,,18,,18
yYUcfesOy2t,Holy Family Oriang Health Centre   3A,13604,,1,18,1,20
nygh0oNF4ht,Holy Rosary Health Centre,21965,,2,8,,10
q1W718UMFWK,Homa Bay County Teaching and Referral Hospital,13608,,2,51,2,55
N6Z5RiN7cJl,Homa Hills Health Centre,13606,,,8,,8
NkqwenLKRZh,Homa Lime Health Centre,13607,,,6,,6
sL4A85fJAXA,Hongo Ogosa Health Centre,13609,,,11,3,14
AHVXluh93vZ,Hope Compassionate (ACK) Dispensary,16983,,,5,,5
hV3DHVI0Drc,Hope Med C,,,,2,,2
Q4d8psx1iAH,House of Hope Medical Centre,18720,Near Atoyieng'o River,,2,,2
it85wWtSqRp,Huruma District Hospital,14555,,2,11,14,27
m0NMs35zjQP,Huruma Lions Health Centre,12974,Operational,1,22,,23
eu57gimZRDs,Huruma Nursing Home and Maternity,12976,,,2,,2
SAUzCOBQ0Qa,Ibacho Sub-County Hospital,13611,,,2,,2
F5HtXiaPY8b,Ibeno Sub County Hospital,13612,,,1,1,2
hgYuumviWXp,Igara Dispensary,15897,,,2,,2
hpI6fI0SMxI,Igare Medical Clinic,13613,,,1,,1
I0kQUozVjhZ,Igegania Level 4 Hospital,10338,,,6,,6
WVQA3Ztjy6t,Iguhu Sub County Hospital,15899,,,4,,4
tAesyvSssYO,Ijara Sub County Hospital - Masalani,13406,,,1,,1
uBIn3KIzOjH,Ikanga Sub county Hospital,12077,,,5,1,6
eDnqMm7SRAg,Ikombe Health Centre,12078,,,5,,5
PotVOfmjlUJ,Ikonzo Model Health Centre,17165,,,3,1,4
I3Z2QMRd8GN,Ikutha Sub County Hospital,12080,,,6,,6
d4U4gk3e0uD,Ileho Health Centre,15900,,,7,,
UV4fccuhV0R,Imanga Health Centre,18941,,,,1,1
Ez2eGQ08d9R,Immaculate Heart of Mary Hospital,10349,,,,1,1
rVLDPAPrFsC,Imulama Dispensary,16481,,,1,,1
FqsoLjbSI9A,Indangalasia Dispensary,17929,,,,1,1
d01gae2jWRL,Industrial Area Dispensary,14575,,,2,,2
NJ9UDodbyoQ,Inuka Hospital & Maternity Home,13618,,,5,,5
rI8R5Xp4mez,Inyali Dispensary,15903,,,1,,1
y8Mv4FOBkUn,IOM Wellness Clinic,19471,,,7,,7
Xm3UkkgGu65,Ipali Health Centre,15904,,,9,,10
Ww8j3aByxSP,Iranda Sub-County Referral Hospital,13620,,,7,,7
gFC5kCFDDqG,Isebania Sub County Hospital,13625,,,14,1,15
bCCU0zxqG0E,Isecha Sub-County Hospital,13623,,,2,1,3
kgwPDqMydjo,Ishiara Sub-County Hospital,16464,,,2,,2
xbZUlr9VgCK,Isinet Health Centre,14581,,,2,1,3
zDGztuhkhx7,Isinya Health Centre,14582,,,11,,11
qiW2KOBj6AN,Isiolo County and Referral Hospital,12094,Level 4 ( Tier 3),,18,,18
Q5AJ6hof4bq,Iten County Referral Hospital,14586,,,5,2,7
w6so9GSaap0,Ithanga Health Centre,10357,,,7,,7
TK5G8AnqHxV,Itibo Eramani Dispensary,13627,,1,,,1
oCSNlBnL6p2,Iyabe Sub County Hospital,13631,,,4,,4
FvG8gxqqOvf,Jamaa Mission Hospital,12984,,,4,,4
IPuJB69xbia,Jamia Medical Centre,15906,,,1,,1
UZlFjPJGpjz,Jaramogi Oginga Odinga Teaching & Referral Hospital,13939,,3,70,11,84
O9iiqr06g3S,Jaribuni Dispensary,11430,,,1,1,2
JM72QVwNQhk,Jera Dispensary,13634,,,6,,6
XN6yIZhe3bj,Jericho Health Centre,12988,,,10,1,11
tH4jWfv5j99,Jerusalem Dispensary,12989,,,3,,3
naa6PTuNZM4,Jevros Clinic,13635,,,2,,2
INawALMkXAS,JKUAT Hospital,10378,,,2,,2
SiFad15yKhZ,JM Kariuki Memorial County Referral Hospital,10916,,,15,4,19
tiI9qrpW3VL,Johpas Clinic,13636,,,1,,1
MP8fPGLlphd,Jomvu Model Health Centre,11436,,,6,,6
Dy8nOI7jCEX,Joy Nursing Home and Maternity,18594,,,1,1,2
s660dO8z7o6,Juja Farm Health Centre,10386,,,2,,2
