organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,MOH 731 Infected_24mths HV02-47,MOH 731 Uninfected_24mths HV02-48,MOH 731 Unknown_Outcome HV02-49,MOH 731 Net cohort_HEI_24 months HV02-50
e8KbBUYLOqY,Nyeri Provincial General Hospital (PGH),10903,,,17,,17
EddKiEXCXSD,Nyeri Town Health Centre,10905,,,10,4,14
CmRdI5qiyot,Nziu Health Centre,12693,,,3,,3
wCYNSByDP30,Nzoia Matete Dispensary,16086,,1,1,,2
Pkek2ZB6Gt3,Nzoia Sugar Dispensary,16085,,,2,,2
NymjRjDIu9W,Obalwanda Health Centre,13950,,,3,,3
mifeiXAkWps,Ober Kabuoch Health Center,13952,,,11,,11
JVl5vd8v985,Ober Kamoth Sub County Hospital,13954,,,12,,12
vtSyjpamKrj,Ober Level 4 Hospital,13953,,,4,,4
sxMelmjaLmt,Oboch Dispensary,13955,,1,5,,6
sjhSrlzV4w6,Obumba Health Centre,13956,,,1,,1
VBp82lP8VqD,Obunga Health Centre,13957,,,1,2,3
rpUTHHEQGUC,Obuya Health Centre,19866,,,6,,6
FBo2ApNsBge,Obwanda Health Centre,13958,,,3,,3
EzccfHE7VSe,Obware Dispensary,20568,,,5,,5
RPdnWtp0vRd,Ochuna Dispensary,13959,,,5,,5
OnMW8Kn4YDf,Ogada Health Centre,13960,Situated in Suba West and a its FBO Health Centre.,,5,1,6
JRvC1h1WCBh,Ogam Dispensary,13961,IN USIGU DIVISION,,4,,4
pnLsN07Qaut,Ogande Dispensary,13962,,,9,1,10
LYauDwfdLGf,Ogen Dispensary,13965,,,3,,3
JNXlOJYD4Z2,Ogongo Level 4 Hospital,13967,,,15,1,16
Q5GF0n7TnBZ,Ogra Health Centre,13968,,,18,,18
Oh2bAGRnSwV,Ogwedhi Health Centre,13969,situated in Suba East Division and its  a GOK Facility,,5,,5
xSUP8uKu35W,Ojola Sub County Hospital,13971,,,9,3,12
l5KKveuX5KY,Ojwando Health Centre,20152,,7,12,,19
BPUDPYELno3,Okiki Amayo Health Centre,13972,,,3,,3
Ma6T0CLHZnh,Okok Health Center,16259,,,25,,25
kWww1M8MQU0,Ol-Jorai Health Center,15406,,,1,1,2
zTlKBhagpJY,Olando Health Centre,13974,,,2,,2
FIDsgV3ezn0,Olasi Dispensary,13975,,,7,1,8
gYDBnsFssH6,Olasi Dispensary (Nyando),13976,Dispensary,,4,,4
ZqmBdrwI59g,Olborosat Dispensary,10911,,,1,1,2
v9kycSh3X4O,Olchorro Health Centre,15389,,,1,,1
cLBvS1WGEQF,Old Mawingu Health Centre,10912,,,1,,1
qc3yUukscvt,Olenguruone Sub County Hospital,15398,,2,3,2,7
nN3Po5pIV4t,Oljabet Health Centre,15404,,,4,,4
QaCEAVVfwZE,Olmekenyu Health Centre,15414,,,2,,2
dxZgFuOryf4,Olmoran Health Centre,15417,,,1,1,2
xGTMrXGuKGB,Ololulunga Sub County Hospital,15423,,,6,1,7
a6ZP7RjG0JA,Olps Clinic,13977,,,7,3,10
fC39oEywEQk,Ombek Health Centre,13978,,,4,1,5
FpS8TixqWn4,Ombo Kowiti Dispensary,17039,,,6,,6
OWLIOQ1qkOt,Omboga Health Centre,13980,,,13,,13
leauT4PYfDm,Omiro Health Centre,13981,,,1,,1
p6QLmTAlmyU,Onding Dispensary,17515,,,1,,1
Uvv85m35TMs,Ondong Dispensary,16277,situated in Suba East Division and its  a GOK Facility,,1,2,3
ttfohow6fXP,Oneno Health Centre,16985,,,2,,2
RW8fKrzu1Ka,Ong'ielo Model Health Centre,13987,,,13,,13
nTGZm5lNyzY,Ongata Rongai Sub County Hospital,15440,,1,22,1,24
pS72TtLnCvM,Ongito Dispensary,13988,,,5,2,7
ImG6wgclN06,Ongo Sub County Hospital,13989,,,9,,9
OlwzlLibvzd,Onyuongo Dispensary,20209,Dispensary,,2,,2
zeG49V2oKJ1,Opapla Health Centre,13990,,1,4,,5
mC9U2woN9J3,Oresi Sub County Hospital,13991,,,17,1,18
Abx1zrqutJ6,Oriang (SDA) Health Centre,16284,,,3,,3
IDjYKFT9aaF,Oriang Kanyadwera Dispensary,18422,,,1,,1
Btt2n49zIB0,Oriang' Alwala Dispensary,18086,,,3,,3
WdXqR4s4oYz,Oridi Health Center,16767,,,6,,6
fjQDkluQIse,Oroche Dispensary,13992,,,4,,4
cZQlPWrhosA,Oruba Nursing and Maternity Home,13993,,,2,,2
grOgz9Y2EUz,Orwaki Dispensary,13994,,,1,,1
VYN9LBa4AE4,Osani Community Dispensary,17726,,,11,,11
y1WqAJwDmmi,Osewre Dispensary,20069,,,1,,1
LWoO0Z47tGZ,Osieko Dispensary,17680,,,4,,4
G4FemD36hGF,Osingo Dispensary,13996,situated in Suba East Division and its  a GOK Facility,,5,,5
DmDKo97EhtM,Osogo Dispensary,13997,,,3,,3
nNxsnNursRY,Otacho Dispensary,13998,,4,4,,8
K7MbyOwY6BH,Otange Health Center,18877,,,7,,7
V6P9Brv9LmO,Otati Dispensary,13999,,,2,3,5
O1VQBaVQvat,Othach Dispensary,14000,NEAR BOARDER USIGU DIVISION  AND SIAYA DISTRICT,,3,,3
AoO1uzcsLs0,Othaya Sub County Hospital,10922,,,6,,6
hpkiX97MN3B,Othoch Rakuom Dispensary,14001,,,12,,12
eogI9KAaTj9,Othoro Level 4 Hospital (Rachuonyo),14002,,,12,1,13
HIbQsMgPQm0,Othoro Sub County Hospital,14003,,,6,1,7
tEu5VkVwaK7,Our Lady of Lourdes Mutomo Hospital,12604,,1,6,,7
lna5hD9un4O,Our Lady of Lourdes Mwea Hospital,10808,,,8,,8
xHrYMm0ZsQu,Ouya Dispensary,14005,IN NYANGOMA DIVISION,,5,,5
CDCeYZgAB3g,Oyamo Dispensary,14007,ISLAND IN NYANGOMA DIVISION,,2,,2
WV0WSrN5Wki,Oyani (SDA) Dispensary,14008,,,5,1,6
EVf9vo84kFZ,Oyani Sub County Hospital,14009,,1,7,2,10
PNrZ6dCwfLs,Oyuma Health Centre (Rachuonyo),17852,,,,1,1
qJwEgqDnkAC,Pala Level 4 Hospital,14011,,,6,,6
kuBecESrd0Y,Pala Masogo Health Centre,19859,,,4,,4
iBuAKaM0WO2,Pand Pieri Community Dispensary,14012,,5,5,2,12
ybNHUZ8G4xz,Pap Kodero Health Centre,14013,,,9,,9
udyfhz4XKDn,Patanisho Maternity and Nursing Home,12977,,,1,,1
XgnBT8Pug4r,PCEA Chogoria Hospital,11970,,,10,,10
IoqOztEzEQu,Pedo Dispensary,18725,,1,5,1,7
z3nMgma1Kt1,Piny Owacho Dispensary,17343,,,4,,4
krlkd35ayXK,Pioneer Health Centre,15463,,,10,2,12
RpW4L3sZsvi,Plateau Hospital,15464,,,4,,4
fyLoVZ0U7xq,Police Line Dispensary (Garissa),13420,,,,1,1
PtapijBoEPe,Ponge Health Center,14015,,,1,,1
WcObK0U8pXU,Ponge Health Centre (Suba North),14016,,3,,,3
pOzVvOXQ6TL,Port Florence Hospital,14017,,1,15,,16
K6JHRvs7bAu,Port Reitz Sub County Hospital,11740,,,4,1,5
vqZ76KANEWN,Port Victoria Hospital,16091,,,25,2,27
LSjjW2Uph1L,Pstc Health Centre,13153,,,2,,2
qNJkz8G7pfV,Pumwani Majengo Dispensary,13155,,,12,,12
DAfqnwB2Uhh,Pumwani Maternity Hospital,13156,,,32,,32
eMMojDvhND0,Rabai Sub County Hospital,11748,,,10,3,13
bejbJuEmJLP,Rabar Health Centre,14018,,,14,,14
aCOEeeYEcsO,Rabondo Dispensary,14019,,,7,,7
xHpOSfsb09z,Rabuor Sub County Hospital,14020,Hospital,,28,1,28
ieD6w3xqG0G,Rachar Sugar Belt Hospital,14021,,,3,3,6
Psa3nl6S4SK,Rachuonyo County Hospital,14022,,,39,8,47
t68YwvegZ4I,Rachuonyo East Sub County Hospital,13638,,,14,,14
szk9vzhrYeY,Radienya Dispensary,18722,Near Radienya primary school,,3,1,4
JcrbB7yUiAC,Radier Dispensary,14023,IN USIGU DIVISION,,5,,5
AqD7UCCUGCh,Rae Dispensary,14024,,,4,,4
ILrXVyvqFwX,Raganga Health Centre,14025,,,3,,3
mRPHsiYtXeO,Rageng'ni Dispensary,14026,,,3,,3
mbaB7dMts46,Ragwe Health Centre,18530,Dispensary,,8,,8
uNfRv08L7NJ,Railways Dispensary (Kisumu),14027,,1,13,,14
iM48NtgCfPO,Railways Dispensary (Mombasa),18211,,,1,,1
JRzEwsiGNOs,Ram Hospital,14028,,,2,,2
w6gmsyy7sL6,Rambugu Dispensary (Rarieda),17437,,,4,,4
vyIRQtMwS3K,Rambula Dispensary,16789,,,7,,7
I12ueCqFUQG,Ramula Health Centre,14030,,,7,,7
tKxiY0VjNrr,Randago Dispensary,17521,,1,7,1,9
yLorzTZpbmc,Randung' Health Centre,14031,,,6,,6
I2z6MT7pHrX,Ranen (SDA) Dispensary,14032,,7,7,,14
ytVjSxVQbQ2,Rangala Health Centre,14033,,1,14,,15
qoY3GWB320k,Rangwe (SDA) Dispensary,14035,,,14,,14
o8qbdITAWcU,Rangwe Sub-County Hospital,14036,,,10,,10
RpoDr08py8E,Rapcom Nursing and Maternity Home,14037,,,10,1,15
CHWDHwHN1da,Rariw Health Centre,14038,,,6,,6
aTQwZSIIxPA,Ratta Health Centre,14040,,,7,,7
jC5xoC8BnPT,Regaol Barnabas Medical Centre,14102,,,10,,10
rsvp3dkcgmQ,Remba Health Centre,17593,,,8,,8
p6Sle8EB5TO,Rera Health Centre,14042,,,7,,7
XIIEtZGP1iY,Rhonda Health centre,20137,,1,11,6,18
PduUv9FH59L,Riana Health Centre,14045,,,1,,1
RuEWpmWUmCM,Riat Dispensary,14046,,,2,,2
g8H5Hr3A1QX,Riat Dispensary (Migori),14047,,,5,,5
ueSbUJtjGM9,Ringiti Health Centre,17710,,,1,1,2
ZyVu64QtPyq,Riotanchi Health Centre,14054,,,2,,2
GOxptySBE5j,Riruta Hospital,13165,,,22,2,24
xOk8BwV5Uta,Rodi Health Centre,14057,,,7,1,8
EumBiY0A93D,Rombo Health Centre,15490,,,1,,1
IZ78jKxuNvk,Rongai Health Centre,15495,,,5,3,8
KV7mZo1P75i,Rongo Sub County Hospital,14058,,1,38,3,42
t5ezj03HWYj,Roret Sub County Hospital,15498,,,3,,3
E5fkFJ09xpE,Rota Health Centre,14060,,1,2,,3
G2SApeuVqIS,Royal Medical Hospital and Maternity Home Limited,14061,,,9,,9
QtLL3zPlb1l,RTC Medical Centre,21648,,,2,,2
MEh9RhjHr40,Ruai (EDARP) Clinic,13169,,,5,2,7
tdskla3Fuag,Ruai Health Centre,13171,,,9,,9
pk6P7fleFU8,Ruaraka Uhai Neema Hospital,18485,,,9,,9
d62fP00Szyv,Ruiru Sub-County Hospital,10973,,1,31,4,36
KK9ISvjjUvP,Rukala Model Health Centre,16095,,,1,,1
JXcyxGXlL9O,Rumbiye Dispensary,16096,,,,1,1
OSC2ngoYEYM,Rumuruti District Hospital,15502,,,8,,8
f8GXUUOSkR6,Runyenjes Sub County Hospital,12719,,,10,2,12
gComlbUf3gB,Rusinga Dispensary,14062,,,1,,1
gWGorl4dyrC,Rusinga Island of Hope Humanist Health Centre,17594,,,9,,9
bXn7IY2ZYMz,Rwambwa Sub-county Hospital,14063,,1,10,,11
OKBBkzppdal,Sabasaba Health Centre,10987,,,6,,6
m6zhE2pzHWO,Sabatia Sub County Hospital,16098,,,9,,9
ikKNYc51MsI,Saboti Sub County Hospital,15508,,1,4,,5
q9xXncCEGRK,Sacred Heart Dispensary,10988,,,3,1,4
iHIbDSA0diT,Sagala Health Centre,11764,,2,,,2
cPU7gAlPGs7,Sagam Community Hospital,14064,,,5,,5
sm3tsYY05ZR,Sagana Sub County Hospital,10994,,,6,,6
TDU6t8gEJgE,Sakali Dispensary,19960,,,4,,4
h1N41fJwQ7f,Sakutiek Health Centre,15516,,,1,,1
GrY2IDpso5W,Samburu County Referral Hospital,15126,,1,5,,6
GRZc4EZ9PuV,Samburu Sub County Hospital,11768,,1,3,1,5
INSq5Fh6r5M,Sango Natiri Health Centre,17986,,,2,,2
taNmXyxY87R,Sango Rota Health Centre,14066,,1,,1,2
VqXehjCiW9C,Saradidi Dispensary,14068,,,3,,3
NpKmhJBECVb,Saro Dispensary,14069,Situated in Suba West division and its a GOK Facility,1,10,,11
vhGugNZUV3w,Savane Dispensary,16101,,,1,1,2
XBVHcByduVe,Sayyida Fatimah Hospital,11774,,,6,1,7
Q1YHVG2A0U1,Sega Dispensary,14072,,,9,,9
ntP34s4jDH5,Sega Mission Hospital,14073,,,20,2,22
m9uOfQmxGGw,Segera Mission Dispensary,17029,,,,,5
EwpG2Q4y05m,Segere Dispensary,16790,,,11,,11
XzlKeCEvztb,Sekenani Health Centre,15541,,,2,,2
tnPObrjA9RC,Sena Level 4 Hospital,14075,,,22,,22
Wm51OW03KAk,Sengani Health centre,16440,,,3,1,4
TvQQht1n3MH,Serawongo Dispensary,14077,IN NYANGOMA DIVISION,,12,,12
KZokajoLAXf,Seregeya Dispensary,16102,,,2,,2
oIfTa0e3Og0,Serem Health Centre,16103,,,8,2,10
amRQYjheywd,Shalom Community Hospital,12730,,,3,,3
BRIBehwYmcd,Shamakhubu Health Centre,16104,,,2,1,3
dU7dDBWWWDi,Shamata Health Centre,11004,,,4,,4
UNbhlHZjMF2,Shamberere Health Centre,16105,,,2,1,3
d7xdgRnT1pE,Shianda Dispensary,20194,,,2,1,3
PuVGCzBiYAp,Shibanze Dispensary,16123,,,6,,6
y1jWd1Ug7ts,Shibwe Sub-County Hospital,16107,,1,4,,5
HqFDy2vEQz6,Shika Adabu (MCM) Dispensary,11785,,1,2,,3
VymFeOiKKGv,Shikunga Health Centre,16111,,,,4,4
nNM3ZA9ErqU,Shikusa Health Centre,16112,,1,,,1
xFwky80rnjq,Shimo La Tewa Annex GK Prison Dispensary,11393,,,3,,3
gvaEWrl758j,Shimo-La Tewa Health Centre (GK Prison),11395,,,5,,5
el6wJ3PIq0h,Shining Hope for Communities Mathare Medical Clinic,,Medical center,,13,,13
kbg8aYUzgUM,Shinyalu Model Health Centre,17596,,,9,2,12
agO9AbQPxH4,Shiraha Health Centre,16116,,,,1,1
cF9orSjuiaV,Shirikisho Health Centre,14078,,,21,,22
HBsqa81tb5L,Shiru Health Centre,16117,,,9,,9
fB3xG06tgRu,Shisaba Dispensary,16118,,,3,3,5
KzjIbQebF4W,Shiseso Health Centre,16119,,,1,4,1
DN1DpNnTw3q,Shitsitswi Health Centre,16121,,,3,2,5
c6oal13vwWU,Shivanga Health Centre,16122,,1,1,,2
SQ7NgzUYOjt,SHOFCO Medical Clinic (Kibera),17650,,,4,,4
X6eQyywhuHF,Siala Kaduol,18426,,,3,,3
b3yukBxVi1J,Siaya County Referral Hospital,14080,"In Siaya Town, along Siaya Ugunja road",,38,2,40
lVnCyawh28t,Siboti Model Health Centre,16124,,,1,,1
MxwFljO9mmy,Sibuoche Dispensary,14082,,,3,14,17
UDjLzocKru9,Sifuyo Health centre,14084,,,5,,5
z4pEZ9GMUj7,Sigomere Sub County Hospital,14085,,,10,1,11
MdNfM770c0k,Sigor Sub County Hospital,15564,,,4,,4
eH1iSu1tL6t,Sigoti Health Centre,14086,,,5,,5
YLsrbfNIQuI,Sigowet Sub County Hospital,15568,,,6,,6
BvSVueanUP2,Sikalame Health Centre,14087,,,6,,6
fGgr17UV6Q6,Sikarira Health Centre,16485,,,1,,1
OjOnxCLQ1lM,Sikusi Dispensary,18145,,,1,,1
UmN02RNDmtB,Silanga (MSF Belgium) Dispensary,13186,,,15,4,15
LeiEBPdQtoW,Silibwet Dispensary (Bomet),15570,,1,4,,5
PoAHq41Wjsk,Silibwet Health Centre (Nyandarua West),11009,,,,1,1
heqPEgGraSS,Simba Health Centre,15574,,,2,,2
uirOz9L34AZ,Simba Opepo Health Centre,14088,,,1,,1
R7ltdc1WXOJ,Simbi Health Centre,14089,,,6,1,7
bsWJDHxiuNB,Simenya Health Centre,14091,,4,3,,7
eDnVQzkzc3B,Sio Port Sub County Hospital,16128,,,9,3,12
fFbd7D0gwb9,Siongiroi Health Centre,15587,,,1,2,3
Gp3mDe3mSdO,Sipili Health Centre,15589,,,3,,3
uGrCgcX6xGk,Sirimba Dispensary,16129,,,1,1,2
LM6YIpZduiU,Sirisia Sub County Hospital,16130,,,5,1,6
DDiNOmleakD,Siruti Dispensary,17051,,,6,,6
MnFD3y1T1GX,Sisenye Dispensary,16131,,,1,1,2
p6qxKcVn83Y,Sitatunga Dispensary,17027,,2,3,,5
S42NaQ2x43j,Sogoo Health Centre,15605,,,3,,3
XMu4DpnN95t,Soin Sub County Hospital,15200,,,4,2,6
Gk01HeIfjsg,Sondu sub county Hospital,14096,,,7,,7
sR008hvpu5e,Sony Medical Centre,14097,,,7,,7
zwV7ekHDAwe,Sori Lakeside Nursing and Maternity Home,14098,,,11,,11
QDmFmtWKepp,Sos Dispensary,13189,,,6,,6
YTqyEB3FYOe,Sosiot Health Centre,15617,,,8,1,9
zvWQ5tdZfKO,Sotik Health Centre,15619,,,7,1,8
fmLvEUsG5e5,Soweto Kayole Phc Health Centre,13017,Near Soweto Kayole Police Station,,8,2,10
QbU1gBuwzxH,Soy Health Centre,15623,,,8,4,12
Gwo8OLfAeek,Soy Sambu Dispensary,16134,,,2,,2
ZLiupnhoyzT,Special Treatment Clinic,13193,,,7,,7
Dsv44iuGboK,St Akidiva Memorial Hospital,14101,Situated in Suba Central and a private Hospital.,,2,2,4
BNuAK6oLAp4,St Alice (EDARP) Dandora Clinic,18219,,,15,2,17
PJESmU1NFjO,St Ann Hospital,12743,,,1,4,3
F3baHs7ruQU,St Barbara Mosocho Health Centre,13822,,,2,,2
AYsyVI9BxYn,St Barkita Dispensary Utawala,17723,,,2,,2
DThwjc1ds5J,St Benedetto Health Centre,16526,,,,1,1
UeRIwewVX7n,St Bridgit Kalemunyang Dispensary,14661,,,1,,1
JJHQ16uTrPX,St Camillus Mission Hospital,14103,,1,19,2,22
ymVyoLJ8yId,St Catherine Napetet Dispensary,15634,,,1,,1
gbGbqNrcrFv,St Catherine's Mission Ichuni,20914,,,4,,4
hCCacTXjCYp,St Charles Lwanga Dispensary,11030,,,3,2,5
zjvUyYZscbf,St Charles Lwanga Health Centre,15957,,,,4,4
LhqVXAyAmeX,St Clare Bolo Health Centre,14104,,,7,1,8
IKD1KqSlD7j,St Clare Medical Centre,16137,,,1,1,2
ZKVebVoAh99,St Damiano Mission Hospital,16138,,,1,4,5
tTAHvMCQVS1,St Elizabeth Chiga Health Centre,14106,FBO,,28,,28
nXaMv9GOjWk,St Elizabeth Health Centre,15636,,,4,2,6
O9btQp8H7N8,St Elizabeth Lorugum Health Centre,15089,,,1,,1
PvuLFowO5Cs,St Elizabeth Lwak Mission Health Centre,13739,,1,10,2,13
SeLYvjWGi5f,St Francis Community  Hospital,13202,,,6,,6
TLYxOpSwSUe,St Jairus Hospital,21766,,,2,,2
MCxYHCi7SKV,St Jane Nursing Home,16870,,,3,,3
HiYExi21bCp,St John Hospital,13205,,,2,1,3
sFRSyKkdRWy,St John of God Hospital Tigania,12799,,,1,4,5
dQnlgfrAj7g,St Joseph (EDARP) Clinic,13207,,,11,1,12
nI19Olg7c4G,St Joseph Hospital,15647,,,2,1,3
Oa3osQS1OkN,St Joseph Mission Hospital,14110,Situated in Suba Central and a its FBO Hospital,1,37,1,39
ZYF5HlmIFYp,St Joseph Mukasa Dispensary,13208,2,,4,,4
K9f6OavyAsf,St Joseph W Dispensary (Westlands),13209,,,6,,6
AHM06z0QKsS,St Joseph's Health Centre (Dagoretti),13210,,,8,2,10
OHZYEciQDBh,St Joseph's Mission Hospital,13936,,,1,,1
yr1OdefeL3S,St Joseph's Obaga Dispensary,14111,,,2,,2
iV6KcqpZpNP,St Joseph's Shelter of Hope,11817,,,5,,4
Dpo1W5ZFOY0,St Lukes ( ACK) Nursing Home(Kaloleni),11818,,,13,1,14
bX5nd5eRa7d,St Mark's Lela Health Centre,14118,,,10,,10
Y9ozzrFMnYy,St Mary Health Centre (Kiserian),15652,,,3,,3
Ohe5HjRN8PF,St Mary's Hospital (Gilgil),15654,,,3,,3
Ohx8SxDgCfo,St Mary's Hospital (Mumias),16141,,,13,4,17
uTKCtfaYGm3,St Mary's Kapsoya Dispensary,15655,,,2,,2
chXwFzmckgz,St Mary's Mission Hospital,13218,,,13,,13
tXopH4h3EtN,St Mary's Yala Dispensary,16418,,,1,,1
KH5TZ2Kiuld,St Mercelline Roo Health centre (Suba),14059,,,9,2,11
yFn8SX1qQbG,St Monica Hospital,14120,,,6,14,20
Cpr8bbDF973,St Monica Hospital (Town Clinic),20836,,,8,1,9
Qv62ysRtBDq,St Monica Nakwamekwi Dispensary,15661,,1,5,2,8
gMhjxJKU9mM,St Monica Rapogi Hospital,14121,,1,25,1,27
umZH5Ae9wN1,St Mulumba Mission Hospital,10765,,,5,,5
L3W78DWaVfN,St Patrick Health Care Centre,13222,,,1,,1
bPtuj3SUxZm,St Patrick Kanamkemer Dispensary,15662,,1,6,2,9
Xac1eOb2dTq,St Paul Dispensary,14123,,,10,1,11
QDx1Cr19K3c,St Paul's Mission Hospital,14124,,,23,,23
COpiQeVtvEL,St Pius Musoli Health Centre,16145,,1,3,,4
yE0YJfPxCUc,St Raphael's Clinic,17683,,,2,,2
XzQQ1Kwv9lP,St Teresa Catholic Dispensary,11069,,,4,,4
nGyonUvdpOm,St Theresa Hospital (Kiirua),12303,,,5,5,10
zm8SMP2MmKm,St Therese Dispensary,15667,,,4,2,6
jNY1DdzbBDr,St Veronica EDARP Clinic,18409,FBO,1,11,2,14
dEPpmoSHG1v,St Vincent Catholic Clinic,13230,,,6,4,10
OaoMmCrvSNm,St Vincents De Paul Health Centre,14128,,,7,2,9
MsF0OYgs0ut,St. Monica Eregi Mission Health Centre,15881,,,1,,1
nmHHcE1kOsS,St. Peters Clever Health Centre,13795,,,4,,4
fUwtOHR3iUn,St.Mary's Ringa Health Centre,20364,,,7,,7
LqjMvQa9FEg,St.Raphael Dispensary (Matisi),18515,,,1,2,3
yY09wUgxTvI,St.Scholastica Uzima Hospital,13246,,,6,,6
zkY1vTT6ZhX,Star Maternity & Nursing Home,14129,,,4,,4
bKNoJXJZYXg,State House Dispensary (Mombasa),11831,,,1,,1
rLTST5T975t,Suba North Sub-County Hospital,13798,,,29,4,33
bPtrtamWTmT,Suba Sub County Hospital,14130,,,30,,30
v0GRG4yvnRW,Subukia Sub County Hospital,15678,,1,6,2,9
Cl76IbPa084,Suguta Health Centre,14131,,,5,,5
t75KnRpIucJ,Sultan Hamud Sub County Hospital,12777,,,12,2,14
r7hNHZYd4pj,Sumba Community Dispensary,14133,,,5,,5
xKOxyxxlXk1,Suna Nursing and Maternity Home,14134,,,4,,4
hcF52HKSsCR,Suna Rabuor Dispensary,14135,situated in Suba East Division and its  a GOK Facility,,7,,7
Sepsy4Bb35C,Suna Ragana Dispensary,14136,Situated in Suba Central and its a GOK Facilily,1,12,2,15
XgCDq1zkmPu,Sunga Dispensary,17175,,,2,,2
NxWEAdV6b7a,Suwerwa Health Centre,15692,,,4,,4
Pz39ORJFqm7,Swindon St Elizabeth Clinic,14138,,,8,,8
erge4sMabaa,Tabaka Mission Hospital,14139,,,13,2,15
B7uMXQhtT6l,Tabitha Medical Clinic,13234,,,7,2,9
a4s2wKfJc30,Takaungu Dispensary,11836,,,,3,3
QFr0QG0e4r6,Takawiri Health Centre,14140,,,1,,1
ZZNxSbbRSpF,Takitech Dispensary,15700,,,5,,5
Jp842VS9qqy,Tala Health Centre,17170,,,4,,4
AXYL3o00Lq2,Tambach Sub-County Hospital,15703,,,1,,1
PENvTx4fphA,Tamu Health Centre,14141,,,,2,2
yLBn5USmgz1,Tanaka Nursing Home,16149,,,13,,13
qThsoxvdyh3,Tarakwa Health centre,15710,,1,,,1
hVc9GNgGPYF,Taru Dispensary,11838,,,4,,4
xlKQSUOfy0y,Taveta Sub County Hospital,11840,,,6,1,7
oDO5QS3lXAv,Tawa Sub-County Hospial,12787,,,7,,7
Wcgkpv2BHcy,Tawfiq Muslim Hospital,11843,,,3,,3
Ofg6EXpIiv1,Tenges Health Centre,15718,,,1,,1
YYQm99dJJ7X,Teso North Sub County Hospital,16150,,,11,2,13
CZvhXoH6bT8,The Hope Medical Centre-Awasi,18415,Maternity and Nursing home,,1,,1
mVjvQPVEjR6,The Mater Misericordiae Hospital (Mukuru),13074,,,32,,32
rW142rztOPK,Thiba Health Centre,11092,,,5,,5
KFaSkuOoYYU,Thika Level 5 Hospital,11094,,,27,5,32
sJHMc412zV6,Thim Lich Dispensary,16278,,,4,,4
X1oLiwDSw9V,Thinu Health Centre,12796,,,1,,1
x8dwth6BYiK,Tigoi Health Centre,16151,,,2,,2
jyOgldxx4Ok,Tigoni Level 4 Hospital,11104,,,7,1,8
d0imj0dhHw1,Timau Sub-County Hospital,12802,Timau Hospital is off Meru Nanyuki road next to the County Commissioners' office,,1,,1
qST1ERiAwNm,Timboni Community Dispensary,11851,,,3,1,4
wbP8qyNnPJ2,Timboroa Health Centre,15725,,,4,,4
kuzvgtX2kyS,Ting'wangi Health Centre,14148,,,11,2,13
tU8NI8ktS8x,Tinga Health Centre,14146,,,2,,2
dLWshrUrHts,Tinganga Catholic Dispensary,17094,,,5,,5
n8Ox0LYd7Di,Tingare Health Centre,14147,,,4,,4
LFBf0WwBzaX,Tisinye Health Centre,14149,,,3,,3
gEvZgtrunJY,Tiwi RHTC,11853,,,2,2,4
iUpiwFY2vI7,Tom Mboya Dispensary,15732,,1,2,2,5
COhi5Nktve9,Tom Mboya Memorial Level 4 Hospital,14150,,,3,2,5
exNcDMt9Cjs,Tongaren Model Health Centre,16152,,1,1,,2
XNC30RIDLbz,Tononoka Ap Dispensary (Tononoka),11223,,,3,1,4
MkgvUQue97g,Transmara West Sub County Hospital,15739,,,10,,10
fBY4PYGFVBq,Tseikuru Sub County Hospital,12805,,,2,,2
QXYRGaSfPBL,Tudor District Hospital (Mombasa),11861,,1,6,3,12
R7cVUaPd35q,Tulwet Health Centre,15747,,,1,1,2
gYw2xH5qMIW,Tumaini Medical Clinic,21624,Offering general outpatient services,,1,,1
eQ411WldmOy,Tumutumu (PCEA) Hospital,11124,,,8,1,9
eDZupn6owH8,Tunyai Health centre,12813,,,1,,1
g1sQi5lt96i,Turbo Sub County Hospital,15753,,,23,6,29
hZqDvGaLiEr,Turi (PCEA) Dispensary,16820,,,1,,1
jbufYjWV5II,Turkwel Health Centre (Loima),15754,,,1,,1
BnJMDZDz0qa,Uasin Gishu District Hospital,15758,,,20,7,27
weyCAoCYvTj,Ugina Health Centre,14155,,,3,,3
TftBThfkPx8,Uhembo Dispensary,17532,,,1,,1
tiYkFi2qKxp,Uhuru Dispensary,15759,,,2,,2
TXGyS25PjDj,Uhuyi Dispensary,14107,,,4,,4
izw2qiqKFYI,Ukwala Sub County Hospital,14156,,,32,,32
i7fRWb47rxA,Ulungo Dispensary,14158,in usigu Division . boarders Yala swamp in Siaya District .the facility is very far from the main road almost 8km,,3,,3
JR47sh98qKk,Uluthe Dispensary,13799,,,3,2,5
adrt3yquw88,Umer Dispensary,17530,,,8,,8
zGAtALrJYYg,Umoja Health Centre,13240,,,16,,16
QEnV6142tKT,Unga Health Center,20242,,,4,,4
ER9BOdawZcT,Uradi Health Centre,17183,,,8,2,10
mGga9qtmJEk,Urenga Health Centre,14159,,,7,,7
eNAWFykGp3w,Uriri Sub County Hospital,14161,,,25,1,26
QqzDmPTu1tk,Usao Health Centre,14162,,,5,,5
U0QSt0gU4Am,Usenge Dispensary,14163,in Usigu Division,,6,,6
fWva3QHl9PM,Ushirika Medical Clinic,13245,,,3,2,1
