organisationunitid,organisationunitname,MOH 731 Positive_Total (Sum HV01-18 to HV01-25) HV01-26,burden_category,MOH 731 Infected_24mths HV02-47,MOH 731 Uninfected_24mths HV02-48,MOH 731 Net cohort_HEI_24 months HV02-50,transmission_rate
okma2mhy9sc,Nyandiwa Level IV Hospital,22.0,Severe,,21.0,21.0,
C3hcs594UwF,Nyang'oma Mission Health Centre,19.0,Severe,,11.0,11.0,
Fiw6j6VJOPf,Nyang'oma Sub County Hospital,15.0,Very High,,21.0,21.0,
gdjJjF3h8HT,Nyangande Sub County Hospital,15.0,Very High,,24.0,24.0,
UvpDlU8kdC9,Nyangiela Sub County Hospital,11.0,High,,16.0,19.0,
WggQjuiAZV8,Nyangu Dispensary,6.0,High,,8.0,8.0,
vlWTrWMtRy1,Nyaoga Health Centre,4.0,Low/Moderate,,8.0,11.0,
PLczdqs5KKm,Nyaporo Dispensary,5.0,Low/Moderate,,,2.0,
sAMKlirWAu6,Nyarongi Dispensary,3.0,Low/Moderate,,5.0,6.0,
JndRLlEOlBD,Nyathengo Dispensary,4.0,Low/Moderate,,3.0,3.0,
VsubFRDKyLR,Nyathuna Level 4 Hospital,6.0,High,,1.0,1.0,
MTG9Ipne1mz,Nyatike Health Centre,1.0,Low/Moderate,1.0,1.0,3.0,33.33333333333333
Uma5NXphDL5,Nyawango Health Centre,1.0,Low/Moderate,2.0,1.0,3.0,66.66666666666666
Oy12OVa3NVS,Nyawara Health Centre,7.0,High,,8.0,8.0,
cKbuV6z4EJ9,Nyawita Health Centre,2.0,Low/Moderate,,2.0,4.0,
dSXVo1RmpPp,Nyenye Misori Dispensary,5.0,Low/Moderate,,7.0,7.0,
e8KbBUYLOqY,Nyeri Provincial General Hospital (PGH),27.0,Severe,,17.0,17.0,
EddKiEXCXSD,Nyeri Town Health Centre,10.0,High,,10.0,14.0,
CmRdI5qiyot,Nziu Health Centre,3.0,Low/Moderate,,3.0,3.0,
wCYNSByDP30,Nzoia Matete Dispensary,3.0,Low/Moderate,1.0,1.0,2.0,50.0
NymjRjDIu9W,Obalwanda Health Centre,1.0,Low/Moderate,,3.0,3.0,
mifeiXAkWps,Ober Kabuoch Health Center,2.0,Low/Moderate,,11.0,11.0,
JVl5vd8v985,Ober Kamoth Sub County Hospital,10.0,High,,12.0,12.0,
vtSyjpamKrj,Ober Level 4 Hospital,8.0,High,,4.0,4.0,
sxMelmjaLmt,Oboch Dispensary,11.0,High,1.0,5.0,6.0,16.666666666666664
sjhSrlzV4w6,Obumba Health Centre,2.0,Low/Moderate,,1.0,1.0,
VBp82lP8VqD,Obunga Health Centre,8.0,High,,1.0,3.0,
FBo2ApNsBge,Obwanda Health Centre,6.0,High,,3.0,3.0,
EzccfHE7VSe,Obware Dispensary,2.0,Low/Moderate,,5.0,5.0,
RPdnWtp0vRd,Ochuna Dispensary,5.0,Low/Moderate,,5.0,5.0,
OnMW8Kn4YDf,Ogada Health Centre,1.0,Low/Moderate,,5.0,6.0,
JRvC1h1WCBh,Ogam Dispensary,2.0,Low/Moderate,,4.0,4.0,
pnLsN07Qaut,Ogande Dispensary,2.0,Low/Moderate,,9.0,10.0,
LYauDwfdLGf,Ogen Dispensary,3.0,Low/Moderate,,3.0,3.0,
JNXlOJYD4Z2,Ogongo Level 4 Hospital,3.0,Low/Moderate,,15.0,16.0,
Q5GF0n7TnBZ,Ogra Health Centre,5.0,Low/Moderate,,18.0,18.0,
Oh2bAGRnSwV,Ogwedhi Health Centre,10.0,High,,5.0,5.0,
xSUP8uKu35W,Ojola Sub County Hospital,4.0,Low/Moderate,,9.0,12.0,
BPUDPYELno3,Okiki Amayo Health Centre,5.0,Low/Moderate,,3.0,3.0,
Ma6T0CLHZnh,Okok Health Center,8.0,High,,25.0,25.0,
kWww1M8MQU0,Ol-Jorai Health Center,2.0,Low/Moderate,,1.0,2.0,
FIDsgV3ezn0,Olasi Dispensary,1.0,Low/Moderate,,7.0,8.0,
gYDBnsFssH6,Olasi Dispensary (Nyando),1.0,Low/Moderate,,4.0,4.0,
ZqmBdrwI59g,Olborosat Dispensary,1.0,Low/Moderate,,1.0,2.0,
v9kycSh3X4O,Olchorro Health Centre,4.0,Low/Moderate,,1.0,1.0,
cLBvS1WGEQF,Old Mawingu Health Centre,5.0,Low/Moderate,,1.0,1.0,
