organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,MOH 731 Infected_24mths HV02-47,MOH 731 Uninfected_24mths HV02-48,MOH 731 Unknown_Outcome HV02-49,MOH 731 Net cohort_HEI_24 months HV02-50,transmission_rate
w2kedceJwpf,Chepareria Sub County Hospital,14330.0,,,5.0,,5.0,
ZXeCbiargkA,Chepchoina Dispensary,14332.0,,,3.0,2.0,5.0,
hmwxjORtUnv,Chepkanga Health Centre,14335.0,,,32.0,1.0,3.0,
vibbW67N4uG,Chepkemel Health Centre (Mosop),14339.0,Health Centre,,,1.0,,
acAHfxFgxVa,Chepkigen Health Centre,14341.0,,,1.0,2.0,3.0,
u2vTqS5F2Fy,Chepkorio Health Centre,14346.0,,,1.0,,1.0,
qCpPJL5V2m1,Cheptais Sub County Hospital,15855.0,moh,,2.0,,2.0,
ULWedqfO8cB,Cheptalal Sub County Hospital,14366.0,,,1.0,,2.0,
wZn5GUHSpIZ,Chepterwai Sub-County Hospital,14369.0,,1.0,1.0,1.0,3.0,33.33333333333333
xmCIA3BSudt,Cherangany Sub County Hospital,14379.0,,,6.0,1.0,7.0,
PiA1cqcwPlf,Chesoen Dispensary,14384.0,,,1.0,,1.0,
TFTsjlwBeca,Chianda Dispensary (Rarieda),18564.0,Dispensry,,1.0,,1.0,
cMV2EgW6Tza,Chief Milimu Dispensary,16144.0,,,2.0,1.0,3.0,
qNO02IGD3yn,Chiga Sub County Hospital,13524.0,,,3.0,,3.0,
kUsA28Yefik,Child Doctor Kenya,19504.0,,,4.0,,4.0,
kVVmxGZKCfA,Chinato Health Centre,13526.0,,,2.0,,2.0,
Q1cLTOTQ8i7,Christamarianne Mission Hospital,13527.0,,,20.0,,20.0,
sD0C4mSXA4H,Chuka County Refferal Hospital,11973.0,,1.0,7.0,2.0,10.0,10.0
aRWvqnCMOEN,Chulaimbo County Hospital,13528.0,,,45.0,2.0,47.0,
S2nFt5STJyM,Chuowe Health centre,13529.0,,,2.0,,2.0,
PjJrujKwMvY,Chuthber Health Centre,13530.0,,,2.0,,2.0,
fUo2NrKCikw,Chwele Friends Dispensary,15861.0,,,,3.0,1.0,
qZCaWe683G3,Chwele Sub County Hospital,15860.0,,,3.0,9.0,12.0,
ZLKeFpFXbAQ,Cmf Aitong Health Centre,14394.0,,,1.0,,1.0,
WQBUBXxXVe5,Coast General Teaching and Referral Hospital,11289.0,,,14.0,2.0,16.0,
kJ5MjZkaoSP,Coast General Teaching and Referral Hospital (Chaani Outreach Centre),11274.0,,,4.0,2.0,5.0,
wi1we3OlD7A,Coast General Teaching and Referral Hospital Vikwatani Outreach Centre,25221.0,,,15.0,,15.0,
amP1kWytNm2,Consolata Kyeni Hospital,12413.0,,,10.0,,10.0,
Aqw6Dbpsjk6,Consolata Mission Hospital (Mathari),10100.0,,1.0,10.0,2.0,13.0,7.6923076923076925
fMexRJbQRAw,Consolata Mission Hospital Nkubu,11976.0,,1.0,12.0,8.0,21.0,4.761904761904762
LtGa9hWTpLy,Coptic Hospital,12905.0,,,36.0,14.0,50.0,
izA6A7pqMPN,Coptic Medical Clinic,12904.0,,,13.0,8.0,21.0,
oic5beVUm72,Coptic Nursing Home,15862.0,,,3.0,10.0,13.0,
XsWdXMDDBpL,Cordis Maria Dispensary,19722.0,,,9.0,,9.0,
fMMxisqLyA8,Cottolengo Mission Hospital,11977.0,,,4.0,,4.0,
UtipAc6rtV6,Dagoretti Sub-County Hospital Mutuini,13105.0,,,6.0,4.0,10.0,
NXlTHAroEmk,Dallas Health Centre,11984.0,,,6.0,,6.0,
VV18KDaWASs,Dandelion Medical Centre,23952.0,dispensary,,2.0,,2.0,
FXzBJIjcAZ5,Dandora (EDARP) Clinic,12911.0,,2.0,11.0,7.0,20.0,10.0
zQh2n2JcWtl,Dandora I Health Centre,12913.0,,,16.0,2.0,19.0,
DBROL4dIIzA,Dandora II Health Centre,12912.0,,,17.0,7.0,24.0,
JAJ7YX1wFAr,David Kayanda Dispensary,11457.0,,,1.0,,1.0,
WG7O02P8x4T,Dede Health Centre,13532.0,,,11.0,4.0,15.0,
uhuTgMdpGDx,Diani Health Centre,11304.0,,,12.0,3.0,15.0,
yjW8519Mkn2,Dienya Health Centre,13533.0,,,7.0,,7.0,
WP7J5im3gDh,Difathas Health Centre,10110.0,Difthas market-off Kimbimbi/Nairobi/Embu highway,,1.0,2.0,3.0,
LYR8fhhFOaQ,Diruma Dispensary,16268.0,,,1.0,,1.0,
H2T8SxOU1zP,Disciples of Mercy Clinic,13534.0,,6.0,3.0,,9.0,66.66666666666666
p7wCM1JfI5d,Divine Mercy Aluor Health Centre,13473.0,,,6.0,4.0,10.0,
iQqQPaktVMP,Dolphil Nursing & Maternity Home,13535.0,,,2.0,,2.0,
rGgw3l0bHEI,Dreams Center Dispensary,12929.0,,,7.0,,7.0,
x2ByD5QP18B,Dundori Health Centre,14424.0,,,4.0,,4.0,
y66tzv9tspm,Eagle Health Care,21146.0,"Medical Clinic  Located at Palace Building 3RD floor OPP Co-op Bank,Kangemi",,5.0,,5.0,
OkCML3CEtNi,Eastleigh Health Centre,12930.0,,,6.0,2.0,7.0,
t8pVCEXnij3,Ebusiratsi Health Centre,15866.0,,,3.0,6.0,9.0,
QiAHGmf0031,Ebusyubi Dispensary,15867.0,,,1.0,,1.0,
hVTJp5M0cGz,EDARP Donholm Clinic,13220.0,,,28.0,6.0,34.0,
u0gDQ38iF5S,EDARP Huruma Clinic,12973.0,,,5.0,10.0,15.0,
r13EdOxFc92,EDARP Komarock Health Centre,17719.0,,,25.0,6.0,31.0,
RVQtRwy75Wt,EDARP Soweto Health Centre,13191.0,Off Masimba Stage Towards Soweto Market,,17.0,8.0,25.0,
Sbo33DobMUY,Egerton University,14426.0,,,1.0,,1.0,
LKOhxyWkOuw,Egetuki GOK Dispensary,19984.0,NEAR EGETUKI MKT,,1.0,,1.0,
PqsRn07KCKv,Ekalakala Health Centre,11995.0,,,6.0,1.0,7.0,
hYlQ9bF0BNY,Ekerenyo Sub-District Hospital,13540.0,,,4.0,,4.0,
KvcLdBE3Qar,Ekwanda Health Centre,15870.0,,,4.0,2.0,4.0,
agm4CQgIwuf,Elburgon Sub County Hospital,14431.0,,2.0,9.0,1.0,12.0,16.666666666666664
XcYVma2H5FV,Eldama Ravine Sub County Hospital,14432.0,,,4.0,,4.0,
nvSVIH9Vnhg,Elgon View Medical Cottage,15871.0,,,,2.0,2.0,
iWFObHTUbzT,Eluche Dispensary,18361.0,,,1.0,2.0,3.0,
PMtDVZGDXRv,Elwangale Health Centre,16714.0,,,1.0,,1.0,
sKHkoTOfodh,Elwasambi Dispensary,15873.0,,,3.0,2.0,5.0,
fVYB9g9ByWU,Elwesero Model Health Centre,15874.0,,,9.0,2.0,11.0,
Lbsm3keaoKp,Emali Sub County Hospital,18260.0,,,8.0,,8.0,
RILlb5RVEkC,Ematsuli Dispensary,15875.0,,,1.0,1.0,2.0,
